Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2023,Loja ,Loja,40996.41667,21191.08333,19805.33333,806.067627,790.7838796,822.4228414,1637575019,86822159.67,1390563390,255762,212,5436.9429,4.846181811,2.626010989
2024,Loja ,Loja,41158.5,21149.25,20009.25,811.8067169,797.5226593,826.905838,1653497414,93193827.08,,,283,,,
2019,Calvas ,Loja,1425.916667,746.8333333,679.0833333,636.8602804,609.9760691,666.4323273,45510202.78,1031701.522,55731690,28171,4,1978.335522,2.700817764,2.434401427
2020,Calvas ,Loja,1408.333333,744.0833333,664.25,644.8369558,616.6911875,676.3568675,35412016.87,752584.25,50727190,27763,4,1827.150884,-7.642012003,-7.303412845
2021,Calvas ,Loja,1419.166667,741.4166667,677.75,646.739728,624.7238515,670.6940409,40494005.53,1156500.29,50621920,27358,9,1850.351634,1.269777434,1.128346675
2022,Calvas ,Loja,1443.833333,744.0833333,699.75,659.022639,629.1841176,690.7839966,46292702.48,1405246.83,54116750,27020,3,2002.840489,8.241074391,4.777253407
2023,Calvas ,Loja,1446.916667,745.3333333,701.5833333,672.5668589,644.1277618,702.794515,52072189.33,1494167.25,55215750,26760,12,2063.368834,3.022125122,0.801954299
2024,Calvas ,Loja,1463.083333,752.75,710.3333333,691.0897369,658.3024089,725.881724,52564190.86,2072148.96,,,15,,,
2019,Catamayo ,Loja,4790.583333,3081.333333,1709.25,801.3289134,814.1660411,778.2106069,114450033.8,3301937.398,98922250,35193,7,2810.850169,12.01303779,11.74662145
2020,Catamayo ,Loja,4444.5,2833.666667,1610.833333,801.3809193,811.7759298,783.0488688,95421593.83,2165733.07,80387960,35394,5,2271.231282,-19.19771082,-18.85911166
2021,Catamayo ,Loja,4051.75,2602,1449.75,785.5065873,804.3669027,751.4843292,116187376.9,2949990.34,79095020,35550,6,2224.895077,-2.040135901,-2.18156666
2022,Catamayo ,Loja,4188.166667,2642.333333,1545.833333,777.2408193,801.737854,735.3860372,124109765,3251362.93,87544820,35734,13,2449.902614,10.11317516,6.649354181
2023,Catamayo ,Loja,4188.5,2610.333333,1578.166667,802.0236715,816.4841003,778.134608,138373323.1,3140558.98,96553180,35960,15,2685.016129,9.596851481,7.376680659
2024,Catamayo ,Loja,4038.666667,2512.75,1525.916667,799.4282684,809.5855865,782.8386892,132759750,3355786.52,,,15,,,
2019,Celica ,Loja,1253,558.75,694.25,800.4391632,760.7336426,833.2654215,21406825.53,444206.586,30705240,15075,4,2036.831841,-6.081597557,-6.348013893
2020,Celica ,Loja,1208.583333,531.8333333,676.75,805.0847467,770.6073151,832.2446289,18470435.97,349719.85,26476830,14999,4,1765.239683,-13.33404912,-12.99544996
